Date,series,OPEN,HIGH,LOW,PREV. CLOSE,ltp,close,vwap,52W H,52W L,VOLUME,VALUE,No of trades
2018-12-18,EQ,174,177.6,173.1,173.95,174.7,174.75,174.91,443.5,154.65,"1,80,15,933","3,15,11,57,475.45","1,11,145"
2018-12-19,EQ,176.5,176.5,172.5,174.75,173.5,173.9,174.36,443.5,154.65,"1,15,40,042","2,01,21,57,930.40","66,466"
2018-12-20,EQ,173,177.3,171.75,173.9,176.15,176.4,175,443.5,154.65,"1,58,19,006","2,76,83,90,588.60","91,578"
2018-12-21,EQ,177,180.5,175.15,176.4,175.5,176.25,178.14,443.5,154.65,"2,37,42,481","4,22,94,37,224.65","1,53,930"
2018-12-24,EQ,176.25,177.85,171.5,176.25,172.2,172.5,175.4,443.5,154.65,"1,13,74,468","1,99,50,84,872.65","64,834"
2018-12-26,EQ,171.45,172.2,167.6,172.5,171.4,170.9,169.98,443.5,154.65,"1,20,44,191","2,04,73,01,453.05","73,360"
2018-12-27,EQ,172.75,173.4,167.7,170.9,168.05,168.25,169.87,443.5,154.65,"1,52,31,581","2,58,73,31,015.45","78,643"
2018-12-28,EQ,169.4,172.2,169.15,168.25,171.4,170.85,171.15,443.5,154.65,"86,69,584","1,48,37,86,775.25","52,303"
2018-12-31,EQ,172.45,173.9,171.75,170.85,173.05,172.7,172.8,443.5,154.65,"85,11,388","1,47,07,36,017.50","53,654"
2019-01-01,EQ,173.5,174.2,171.3,172.7,174,173.45,172.71,443.5,154.65,"67,15,543","1,15,98,66,971.20","42,618"
2019-01-02,EQ,170.6,171.75,168,173.45,168.4,168.55,169.85,443.5,154.65,"1,34,10,104","2,27,76,69,120.50","77,641"
2019-01-03,EQ,169,170.15,165.1,168.55,165.7,166.05,167.81,443.5,154.65,"93,21,842","1,56,42,67,952.55","71,994"
2019-01-04,EQ,169,171.95,168.5,166.05,171.15,170.95,170.46,443.5,154.65,"1,76,50,435","3,00,87,77,564.85","1,03,949"
2019-01-07,EQ,173.2,178.2,173.2,170.95,175.25,175.35,176.27,443.5,154.65,"2,14,38,351","3,77,89,53,045.30","1,36,086"
2019-01-08,EQ,176.1,180.5,176.1,175.35,179.95,179.95,179.01,443.5,154.65,"2,01,28,985","3,60,33,38,781.30","1,16,893"
2019-01-09,EQ,181.5,183.6,180.2,179.95,183.55,183.05,182.05,443.5,154.65,"1,74,68,948","3,18,02,37,350.20","1,14,177"
2019-01-10,EQ,183.65,186.85,183.55,183.05,185.5,185.75,185.74,443.5,154.65,"1,69,61,888","3,15,05,21,337.85","96,659"
2019-01-11,EQ,186.55,187.75,179.4,185.75,179.8,180.3,182.53,443.5,154.65,"2,59,02,974","4,72,79,45,471.15","1,22,548"
2019-01-14,EQ,180.3,198.3,177.45,180.3,182.4,182.4,180.72,440.05,154.65,"1,89,35,120","3,42,20,07,613.90","94,255"
2019-01-15,EQ,183.3,185.8,181.25,182.4,184.9,185.35,183.58,440.05,154.65,"1,35,36,578","2,48,50,39,486.85","73,236"
2019-01-16,EQ,186,187.35,184.05,185.35,185.6,185.45,185.63,440.05,154.65,"1,18,74,245","2,20,42,41,788.40","67,725"
2019-01-17,EQ,186,187.3,183.4,185.45,184.95,184.9,185.18,440.05,154.65,"93,65,756","1,73,43,04,928.40","61,476"
2019-01-18,EQ,185.65,185.65,181.3,184.9,183.9,183.3,183.4,440.05,154.65,"67,97,621","1,24,66,63,273.55","54,111"
2019-01-21,EQ,184.3,184.95,180.65,183.3,181.4,181.5,182.21,424.4,154.65,"69,18,258","1,26,05,80,456.95","51,105"
2019-01-22,EQ,181.5,181.5,175.95,181.5,180.75,180.85,179.19,424.4,154.65,"97,75,717","1,75,17,43,502.15","69,527"
2019-01-23,EQ,181.7,182.7,178.55,180.85,179.9,180.25,180.41,424.4,154.65,"97,78,926","1,76,42,16,000.40","62,779"
2019-01-24,EQ,180,180.3,173.7,180.25,175.55,175.4,175.75,424.4,154.65,"1,34,61,254","2,36,57,94,416.45","83,379"
2019-01-25,EQ,175.95,178.9,171.95,175.4,173.3,173.25,176.09,424.4,154.65,"1,21,36,892","2,13,71,57,216.10","80,117"
2019-01-28,EQ,173.3,175.35,169.4,173.25,172.2,172.3,171.96,405.9,154.65,"81,67,430","1,40,44,35,303.95","56,550"
2019-01-29,EQ,172.35,174.9,170.9,172.3,174,173.6,173.23,405.9,154.65,"61,41,180","1,06,38,29,113.90","47,983"
2019-01-30,EQ,174.3,176.75,173.3,173.6,174.9,174.6,174.87,405.9,154.65,"77,57,847","1,35,66,30,812.80","63,499"
2019-01-31,EQ,175.8,183.9,175.8,174.6,179.95,181.2,178.7,405.9,154.65,"2,22,77,646","3,98,10,40,185.60","1,02,976"
2019-02-01,EQ,182,185.9,179.55,181.2,182,181.65,182.8,405.9,154.65,"1,49,31,422","2,72,94,92,471.30","1,09,454"
2019-02-04,EQ,181,183.7,178.2,181.65,181.2,180.25,180.7,398,154.65,"1,18,54,351","2,14,21,07,680.25","74,380"
2019-02-05,EQ,180.7,181.15,174.7,180.25,176,175.8,176.67,398,154.65,"1,20,64,426","2,13,14,15,822.65","77,228"
2019-02-06,EQ,176,179.45,171.9,175.8,179.1,178.5,175.68,398,154.65,"1,03,34,594","1,81,55,88,584.80","65,918"
2019-02-07,EQ,179,185,178.9,178.5,183.2,182.85,182.49,398,154.65,"1,61,52,722","2,94,77,57,760.65","1,07,038"
2019-02-08,EQ,164.6,164.6,129,182.85,150.15,150.7,151.25,398,129.0,"10,22,56,857","15,46,63,17,393.30","5,50,656"
2019-02-11,EQ,150.15,153.25,145.85,150.7,153,152.65,150.22,382.3,129.0,"2,61,61,867","3,92,99,93,774.70","1,48,949"
2019-02-12,EQ,152.95,154.4,150.6,152.65,152,151.8,152.54,382.3,129.0,"1,41,74,912","2,16,23,06,699.70","89,715"
2019-02-13,EQ,152.95,156.65,151.5,151.8,155.15,155,154.33,382.3,129.0,"1,53,40,343","2,36,74,51,305.55","92,166"
2019-02-14,EQ,155.95,161,153.8,155,159.45,159.85,157.41,382.3,129.0,"1,63,48,306","2,57,33,75,483.20","1,02,639"
2019-02-15,EQ,159.8,162.3,153.15,159.85,162.2,161.65,157.95,382.3,129.0,"2,07,05,576","3,27,04,40,371.00","1,17,116"
2019-02-18,EQ,162.8,163.45,159.2,161.65,163.1,162.9,161.34,376.6,129.0,"1,35,03,666","2,17,87,43,149.30","82,838"
2019-02-19,EQ,164,165.95,161.55,162.9,164.9,163.75,164.08,376.6,129.0,"1,45,33,142","2,38,45,97,025.55","84,846"
2019-02-20,EQ,164.45,166.7,163.75,163.75,164.7,164.8,165.06,376.6,129.0,"1,16,10,728","1,91,65,19,176.35","97,537"
2019-02-21,EQ,165.6,170.6,165.1,164.8,170,169.7,168.15,376.6,129.0,"1,48,11,723","2,49,05,92,242.95","1,55,893"
2019-02-22,EQ,170,175.3,167.85,169.7,174.9,174.3,171.72,376.6,129.0,"1,30,11,477","2,23,42,71,631.15","82,739"
2019-02-25,EQ,175.15,177.5,173.5,174.3,176.3,175.75,175.23,376.6,129.0,"1,55,54,532","2,72,56,11,124.25","1,14,084"
2019-02-26,EQ,173,183.45,172.5,175.75,183,182.65,180.05,376.6,129.0,"3,18,59,427","5,73,62,80,848.75","1,74,362"
2019-02-27,EQ,183.55,186.1,176.1,182.65,176.75,177.35,180.48,376.6,129.0,"1,97,23,906","3,55,96,91,941.10","1,34,393"
2019-02-28,EQ,180,181.55,176.6,177.35,177.1,177.45,179.06,376.6,129.0,"1,86,92,372","3,34,70,41,332.40","1,46,754"
2019-03-01,EQ,178.65,184,177.35,177.45,180.05,180.3,180.45,376.6,129.0,"2,05,39,919","3,70,63,46,255.75","1,18,041"
2019-03-05,EQ,183.8,198.35,181.4,180.3,193.4,194.05,192.19,372.35,129.0,"5,81,38,551","11,17,39,09,383.00","3,28,690"
2019-03-06,EQ,195.4,195.4,187.75,194.05,189.4,188.8,190.86,372.35,129.0,"2,24,68,702","4,28,84,86,667.20","1,34,553"
2019-03-07,EQ,191.4,193.45,187.8,188.8,190.3,189.3,190.37,372.35,129.0,"2,70,51,501","5,14,98,45,610.05","1,72,177"
2019-03-08,EQ,187.8,187.95,180,189.3,180.7,181.2,183.15,372.35,129.0,"2,80,12,914","5,13,05,98,167.60","1,72,839"
2019-03-11,EQ,182,184.6,181.05,181.2,181.85,181.85,182.3,372.35,129.0,"2,56,69,662","4,67,96,42,718.85","1,02,474"
2019-03-12,EQ,184.4,186,183.55,181.85,184.45,184.8,184.93,372.35,129.0,"1,86,57,724","3,45,03,94,908.85","1,11,319"
2019-03-13,EQ,184.45,184.9,180.4,184.8,181.35,181.7,182.05,372.35,129.0,"97,69,821","1,77,86,22,507.25","63,017"
2019-03-14,EQ,181.5,182.45,177.65,181.7,179.4,179.55,180.1,372.35,129.0,"1,57,37,080","2,83,43,21,828.90","94,756"
2019-03-15,EQ,180.2,181.4,177.6,179.55,180,180,179.4,372.35,129.0,"1,74,90,993","3,13,78,87,075.05","87,698"
2019-03-18,EQ,181,184.7,179.5,180,182.2,182.25,182.82,372.35,129.0,"1,46,90,339","2,68,56,41,291.95","1,29,888"
2019-03-19,EQ,182,184.5,180.75,182.25,182.85,182.85,182.57,372.35,129.0,"1,03,18,028","1,88,37,66,310.40","80,379"
2019-03-20,EQ,183,183.45,179.6,182.85,180.2,180.2,181.31,372.35,129.0,"75,43,753","1,36,77,37,757.50","46,582"
2019-03-22,EQ,181.95,182,174.9,180.2,175.3,175.4,178.13,372.35,129.0,"1,15,05,994","2,04,95,68,525.45","77,535"
2019-03-25,EQ,173.7,173.8,170.55,175.4,171,171.3,172.2,372.35,129.0,"1,18,64,723","2,04,31,04,571.40","80,412"
2019-03-26,EQ,171.9,173.6,171.6,171.3,173.3,173.1,172.48,372.35,129.0,"78,20,112","1,34,87,73,880.15","54,484"
2019-03-27,EQ,174,175,169.15,173.1,169.75,169.85,171.96,372.35,129.0,"1,00,47,628","1,72,77,41,426.75","65,187"
2019-03-28,EQ,169,171.4,167.55,169.85,170.9,170.55,169.93,372.35,129.0,"1,32,03,927","2,24,37,47,639.95","97,478"
2019-03-29,EQ,171.15,177.05,171,170.55,173.9,174.25,174.87,372.35,129.0,"1,77,80,440","3,10,92,70,674.15","1,12,368"
2019-04-01,EQ,176.35,189.75,176.35,174.25,187.3,187.35,185.06,372.35,129.0,"4,63,89,181","8,58,45,76,554.50","2,41,946"
2019-04-02,EQ,188.05,204.4,185.3,187.35,203.5,202.95,197.22,372.35,129.0,"10,08,34,335","19,88,68,34,960.80","4,59,286"
2019-04-03,EQ,205,208.95,199.2,202.95,201.8,201.35,204.7,372.35,129.0,"8,17,79,620","16,73,99,94,388.90","3,70,107"
2019-04-04,EQ,201.85,206.9,201.05,201.35,206.3,206.15,204.35,372.35,129.0,"4,12,68,908","8,43,35,03,905.00","2,29,445"
2019-04-05,EQ,208,209.5,202.3,206.15,205.85,205.15,205.24,372.35,129.0,"3,20,57,373","6,57,93,43,918.55","1,68,573"
2019-04-08,EQ,206,207.4,198.8,205.15,201.9,200.55,202.8,368.6,129.0,"2,38,77,595","4,84,23,04,954.45","1,28,483"
2019-04-09,EQ,200,207.6,198.15,200.55,207,205.9,203.68,368.6,129.0,"2,96,11,268","6,03,11,50,276.10","1,63,842"
2019-04-10,EQ,206,217.4,205.6,205.9,215.8,216.05,213.58,368.6,129.0,"6,93,49,488","14,81,19,22,704.80","3,51,825"
2019-04-11,EQ,216.6,219.2,213.3,216.05,218.25,218.2,216.66,368.6,129.0,"4,18,59,862","9,06,92,93,915.90","2,31,220"
2019-04-12,EQ,218.95,219,215,218.2,215.6,215.95,216.29,368.6,129.0,"2,17,88,548","4,71,25,43,944.85","1,34,047"
2019-04-15,EQ,217.15,233.25,217.15,215.95,232,231.75,227.85,352.8,129.0,"5,72,83,251","13,05,17,43,363.05","2,99,058"
2019-04-16,EQ,233.8,234.1,225.65,231.75,230.45,230.5,229.64,352.8,129.0,"4,16,53,657","9,56,51,66,866.35","2,49,211"
2019-04-18,EQ,231.9,239.3,230.6,230.5,235.8,236.25,236.43,352.8,129.0,"4,24,51,178","10,03,67,33,052.00","2,35,133"
2019-04-22,EQ,235,239.35,231.7,236.25,235.3,234.85,235.72,351.65,129.0,"3,02,82,217","7,13,81,28,034.30","1,63,979"
2019-04-23,EQ,235,235.85,230.25,234.85,232.8,231.65,233.63,351.65,129.0,"1,89,75,358","4,43,31,32,799.40","1,02,982"
2019-04-24,EQ,231.65,232.95,217.6,231.65,224.25,223.6,221.97,351.65,129.0,"5,03,17,411","11,16,88,45,698.80","2,59,007"
2019-04-25,EQ,223.4,225.9,220.25,223.6,221.2,221.85,222.66,351.65,129.0,"2,71,32,908","6,04,13,51,500.30","1,75,688"
2019-04-26,EQ,221.9,221.9,214,221.85,215.45,215.6,216.99,351.65,129.0,"2,60,38,093","5,64,99,72,076.50","1,74,394"
2019-04-30,EQ,216.2,218.65,210.3,215.6,214.6,214.3,213.34,351.65,129.0,"2,12,89,116","4,54,18,96,234.35","1,44,149"
2019-05-02,EQ,211,212.65,206.5,214.3,206.9,207.3,209.34,351.65,129.0,"2,19,86,007","4,60,25,27,641.15","1,41,091"
2019-05-03,EQ,205,213.65,203.05,207.3,209.55,209.45,210.42,351.65,129.0,"3,71,53,857","7,81,78,35,564.15","2,31,544"
2019-05-06,EQ,204,204.5,198,209.45,200.1,199.8,200.26,347.25,129.0,"3,01,17,667","6,03,14,28,510.55","1,63,024"
2019-05-07,EQ,201.7,202.85,189.35,199.8,190,190.95,196.51,347.25,129.0,"3,05,16,908","5,99,70,27,913.40","1,82,524"
2019-05-08,EQ,190,190.9,183.8,190.95,185,185.1,187.16,347.25,129.0,"2,84,43,735","5,32,33,90,444.00","1,72,330"
2019-05-09,EQ,184.3,189.8,182.3,185.1,186.2,186.35,186.1,347.25,129.0,"3,28,41,616","6,11,17,13,900.70","1,47,186"
